Q7;Q8_6;Q468;Q12;Q17_10;Q21;Q26_10;Q30;Q35_10;Q39;Q43_10;Q48;Q53_10;Q57;Q62_10;Q76;Q81_10;Q85;Q90_10;Q94;Q99_10;Q103;Q107_10;Q112;Q117_10;Q121;Q126_10;Q131_1;Q468
You are randomly assigned to a Group (select it to move forward).;"How confident in your ability to detect phishing email are you ? (1: not confident; 5: very confident)";What is your prior knowledge of phishing tactics ?;What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";What do you think of the email ?;"What is your confidence level in the answer given? (1: not sure at all; 5: very confident)";"How confident in your ability to detect phishing email are you now ? (1: not confident; 5: very confident)";What is your prior knowledge of phishing tactics ?
Treatment B;4;Medium;Legitimate;5;Phishing;4;Phishing;4;Legitimate;5;Legitimate;3;Phishing;3;Phishing;4;Phishing;4;Legitimate;4;Legitimate;5;Phishing;4;Phishing;2;4;Medium
Treatment B;5;High;Legitimate;5;Phishing;4;Phishing;4;Legitimate;5;Phishing;4;Phishing;4;Phishing;5;Phishing;5;Legitimate;5;Legitimate;5;Phishing;5;Phishing;5;5;High
Treatment B;3;Medium;Legitimate;3;Legitimate;2;Phishing;2;Legitimate;1;Phishing;3;Phishing;4;Phishing;3;Phishing;3;Phishing;2;Legitimate;2;Phishing;3;Legitimate;3;3;Medium
Treatment A;4;Low;Phishing;4;Phishing;4;Legitimate;4;Legitimate;4;Phishing;4;Legitimate;3;Legitimate;4;Phishing;4;Phishing;4;Legitimate;4;Legitimate;4;Phishing;4;4;Low
Treatment A;3;High;Phishing;4;Legitimate;4;Legitimate;5;Legitimate;4;Phishing;4;Legitimate;5;Legitimate;5;Legitimate;4;Phishing;5;Legitimate;5;Legitimate;5;Phishing;4;5;High
Treatment A;4;Medium;Phishing;5;Legitimate;4;Legitimate;3;Legitimate;5;Phishing;5;Legitimate;4;Phishing;2;Legitimate;4;Phishing;4;Legitimate;5;Legitimate;4;Phishing;4;4;Medium
Treatment A;4;Medium;Phishing;5;Phishing;5;Phishing;3;Legitimate;5;Phishing;4;Legitimate;3;Legitimate;5;Phishing;5;Phishing;5;Phishing;4;Legitimate;4;Phishing;5;5;Medium
Treatment B;3;Low;Legitimate;4;Phishing;4;Phishing;4;Legitimate;5;Phishing;3;Phishing;4;Phishing;4;Phishing;5;Phishing;4;Legitimate;4;Phishing;4;Phishing;4;4;Low
Treatment B;3;Medium;Phishing;3;Legitimate;3;Phishing;4;Phishing;3;Phishing;4;Legitimate;2;Phishing;3;Legitimate;3;Phishing;3;Legitimate;3;Legitimate;3;Phishing;4;2;
